United States	49,781.4	51,456.7	52,980.0	54,629.5	
Uruguay	14,166.6	15,127.6	16,879.5	16,806.8	
Uzbekistan	1,544.8	1,719.0	1,878.0	2,036.7	
Vanuatu	3,275.0	3,158.4	3,167.1	3,148.0	
Venezuela, RB	10,754.6	12,771.6			
Vietnam	1,542.7	1,754.5	1,907.6	2,052.3	
Virgin Islands (U.S.)						
West Bank and Gaza	2,665.0	2,782.9	2,991.5	2,965.9	
Yemen, Rep.	1,282.4	1,289.0	1,408.1		
Zambia	1,654.5	1,686.6	1,759.2	1,721.6	
Zimbabwe	768.6	850.8	905.5	931.2	
